date,facility,facility_id,orders,gmv,gmv_minus_discount,hours_staffed,week,month,labor_cost,orders_processed_per_hour_staffed,expected_hours,overstaffing_flag,processing_revenue,net_revenue,expected_labor_cost,expected_net_revenue,loss_flag
2023-08-08,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,630,18636.15,15053.85,13.483334,2023-08-07,2023-08-01,242.700012,47,18.0,0,745.446,502.745988,324.0,421.446,0
2023-08-08,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,471,14014.789999999999,11939.29,13.9,2023-08-07,2023-08-01,250.20000000000002,34,13.457142857142857,1,560.5916,310.3915999999999,242.22857142857143,318.3630285714286,0
2023-08-08,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,459,13356.6,11787.41,9.7,2023-08-07,2023-08-01,174.6,48,13.114285714285714,0,534.264,359.664,236.05714285714285,298.2068571428572,0
2023-08-08,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,81,1999.09,1999.09,7.766667,2023-08-07,2023-08-01,139.800006,11,2.3142857142857145,1,79.9636,-59.836406,41.65714285714286,38.30645714285714,1
2023-08-08,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,57,1464.94,1427.21,0.0,2023-08-07,2023-08-01,0.0,0,1.6285714285714286,0,58.5976,58.5976,29.314285714285713,29.283314285714287,0
2023-08-09,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,529,15736.24,15337.92,18.466667,2023-08-07,2023-08-01,332.400006,29,15.114285714285714,1,629.4496,297.049594,272.0571428571428,357.3924571428572,0
2023-08-09,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,32,1019.44,880.28,6.133333,2023-08-07,2023-08-01,110.399994,6,0.9142857142857143,1,40.7776,-69.62239400000001,16.457142857142856,24.320457142857144,1
2023-08-09,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,716,26004.26,21713.829999999998,12.333334,2023-08-07,2023-08-01,222.00001200000003,59,20.457142857142856,0,1040.1704,818.170388,368.2285714285714,671.9418285714286,0
2023-08-09,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,545,15813.73,13428.15,22.483333,2023-08-07,2023-08-01,404.69999399999995,25,15.571428571428571,1,632.5492,227.8492060000001,280.2857142857143,352.26348571428576,0
2023-08-09,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,468,13850.93,12409.55,22.633333,2023-08-07,2023-08-01,407.399994,21,13.371428571428572,1,554.0372,146.637206,240.68571428571428,313.3514857142857,0
2023-08-09,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,52,1350.35,1321.35,8.616667,2023-08-07,2023-08-01,155.100006,7,1.4857142857142858,1,54.013999999999996,-101.08600600000001,26.742857142857144,27.271142857142852,1
2023-08-09,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,68,2043.71,2002.6399999999999,0.0,2023-08-07,2023-08-01,0.0,0,1.9428571428571428,0,81.7484,81.7484,34.97142857142857,46.776971428571436,0
2023-08-10,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,508,16170.14,15779.13,18.416666,2023-08-07,2023-08-01,331.499988,28,14.514285714285714,1,646.8056,315.30561200000005,261.25714285714287,385.54845714285716,0
2023-08-10,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,36,1028.48,879.1800000000001,4.616667,2023-08-07,2023-08-01,83.100006,8,1.0285714285714285,1,41.1392,-41.96080599999999,18.514285714285712,22.62491428571429,1
2023-08-10,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,703,21643.08,17763.79,12.45,2023-08-07,2023-08-01,224.1,57,20.085714285714285,0,865.7232000000001,641.6232000000001,361.54285714285714,504.180342857143,0
2023-08-10,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,601,17695.31,14697.89,25.983334,2023-08-07,2023-08-01,467.700012,24,17.17142857142857,1,707.8124,240.112388,309.0857142857143,398.72668571428574,0
2023-08-10,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,525,15628.28,13922.15,19.816666,2023-08-07,2023-08-01,356.699988,27,15.0,1,625.1312,268.431212,270.0,355.13120000000004,0
2023-08-10,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,52,1399.72,1371.72,7.85,2023-08-07,2023-08-01,141.29999999999998,7,1.4857142857142858,1,55.988800000000005,-85.31119999999999,26.742857142857144,29.24594285714286,1
2023-08-10,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,79,2519.36,2499.36,0.0,2023-08-07,2023-08-01,0.0,0,2.257142857142857,0,100.77440000000001,100.77440000000001,40.628571428571426,60.14582857142859,0
2023-08-11,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,485,14796.53,14458.2,25.183334,2023-08-07,2023-08-01,453.300012,20,13.857142857142858,1,591.8612,138.56118800000007,249.42857142857144,342.4326285714286,0
2023-08-11,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,62,2022.97,1740.0900000000001,6.966667,2023-08-07,2023-08-01,125.400006,9,1.7714285714285714,1,80.9188,-44.481206,31.885714285714286,49.03308571428572,1
2023-08-11,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,776,24005.03,19412.05,13.4,2023-08-07,2023-08-01,241.20000000000002,58,22.17142857142857,0,960.2012,719.0011999999999,399.0857142857143,561.1154857142857,0
2023-08-11,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,598,18467.44,15537.13,23.316667,2023-08-07,2023-08-01,419.700006,26,17.085714285714285,1,738.6976,318.997594,307.54285714285714,431.1547428571428,0
2023-08-11,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,559,17983.68,16151.47,21.433333,2023-08-07,2023-08-01,385.799994,27,15.971428571428572,1,719.3472,333.547206,287.48571428571427,431.8614857142858,0
2023-08-11,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,70,1920.71,1870.73,8.1,2023-08-07,2023-08-01,145.79999999999998,9,2.0,1,76.8284,-68.97159999999998,36.0,40.8284,1
2023-08-11,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,83,2285.06,2251.15,11.316667,2023-08-07,2023-08-01,203.700006,8,2.3714285714285714,1,91.4024,-112.297606,42.68571428571428,48.71668571428572,1
2023-08-12,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,443,15582.65,15278.34,21.65,2023-08-07,2023-08-01,389.7,21,12.657142857142857,1,623.306,233.60600000000005,227.82857142857142,395.4774285714286,0
2023-08-12,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,51,1577.43,1398.42,0.0,2023-08-07,2023-08-01,0.0,0,1.457142857142857,0,63.0972,63.0972,26.228571428571428,36.86862857142857,0
2023-08-12,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,745,22201.75,18636.59,14.449999,2023-08-07,2023-08-01,260.099982,52,21.285714285714285,0,888.07,627.970018,383.1428571428571,504.92714285714294,0
2023-08-12,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,595,17208.74,14286.98,21.6,2023-08-07,2023-08-01,388.8,28,17.0,1,688.3496000000001,299.5496000000001,306.0,382.3496000000001,0
2023-08-12,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,460,15049.2,13070.05,13.683334,2023-08-07,2023-08-01,246.300012,34,13.142857142857142,1,601.9680000000001,355.66798800000004,236.57142857142856,365.3965714285715,0
2023-08-12,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,52,1494.73,1471.73,6.883333,2023-08-07,2023-08-01,123.899994,8,1.4857142857142858,1,59.7892,-64.110794,26.742857142857144,33.04634285714286,1
2023-08-12,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,114,3719.4700000000003,3683.5,10.3,2023-08-07,2023-08-01,185.4,12,3.257142857142857,1,148.77880000000002,-36.62119999999999,58.628571428571426,90.15022857142858,1
2023-08-13,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,437,15087.36,14426.87,16.483333,2023-08-07,2023-08-01,296.69999399999995,27,12.485714285714286,1,603.4944,306.7944060000001,224.74285714285713,378.7515428571429,0
2023-08-13,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,64,2104.66,1936.54,5.45,2023-08-07,2023-08-01,98.10000000000001,12,1.8285714285714285,1,84.18639999999999,-13.913600000000017,32.91428571428571,51.27211428571428,1
